,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities,not_a_superhost,superhost
3143,12424.0,4,1.0,2.0,40.0,1,62,1,0,0,0,1,0,1.0,20.0,0,1
3144,16742.0,3,1.0,2.0,500.0,1000,8,1,0,0,0,1,0,1.0,19.0,1,0
3145,25345.0,7,2.0,4.0,38.0,3,198,1,0,0,0,1,0,1.0,19.0,1,0
3146,2995.0,2,1.0,1.0,30.0,3,0,0,0,1,0,1,0,1.0,7.0,1,0
3147,23411.0,2,1.0,1.0,63.0,4,62,1,0,0,0,1,0,1.0,20.0,0,1
3148,80939.0,5,2.0,3.0,55.0,3,9,1,0,0,0,1,0,1.5,17.0,1,0
3149,23411.0,6,2.0,3.0,40.0,4,72,1,0,0,0,1,0,1.0,12.0,1,0
3150,68915.0,4,2.0,4.0,25.0,1,2,0,0,1,0,0,1,1.0,17.0,1,0
3151,15856.0,4,1.0,2.0,30.0,3,26,1,0,0,0,1,0,1.0,17.0,0,1
3152,24405.0,2,1.0,1.0,25.0,3,12,1,0,0,0,1,0,1.0,12.0,1,0
3153,23411.0,5,2.0,3.0,43.0,3,40,1,0,0,0,1,0,1.5,19.0,0,1
3154,68915.0,2,1.0,2.0,35.0,30,70,1,0,0,0,1,0,1.0,18.0,1,0
3155,3509.0,4,2.0,2.0,35.0,3,17,1,0,0,0,1,0,1.0,13.0,1,0
3156,80939.0,4,2.0,3.0,65.0,2,36,1,0,0,0,1,0,1.0,14.0,0,1
3157,165084.0,4,1.0,1.0,53.0,3,10,1,0,0,0,1,0,1.0,18.0,0,1
3158,80939.0,6,2.0,3.0,75.0,2,14,1,0,0,0,1,0,1.0,19.0,0,1
3159,80939.0,6,3.0,4.0,46.0,1,95,1,0,0,0,1,0,1.0,18.0,1,0
3160,80939.0,4,1.0,3.0,45.0,7,0,1,0,0,0,1,0,1.0,11.0,1,0
3161,16742.0,4,1.0,1.0,48.0,7,26,1,0,0,0,1,0,1.0,16.0,1,0
3162,2683.0,8,3.0,6.0,80.0,3,5,1,0,0,0,1,0,1.5,14.0,1,0
3163,165084.0,4,1.0,2.0,49.0,1,41,1,0,0,0,1,0,1.0,17.0,0,1
3164,2683.0,4,2.0,2.0,150.0,4,1,1,0,0,0,1,0,1.5,14.0,1,0
3165,38531.0,6,2.0,3.0,29.0,2,71,1,0,0,0,1,0,1.0,18.0,0,1
3166,15856.0,6,2.0,2.0,24.0,2,57,1,0,0,0,1,0,1.0,18.0,1,0
3167,68915.0,1,1.0,1.0,25.0,1,0,0,0,1,0,0,1,1.5,17.0,1,0
3168,12424.0,6,2.0,3.0,35.0,1,1,1,0,0,0,1,0,1.0,14.0,1,0
3169,80939.0,3,1.0,1.0,40.0,2,31,1,0,0,0,1,0,1.0,18.0,1,0
3170,68915.0,2,1.0,1.0,45.0,20,4,1,0,0,0,1,0,1.0,18.0,1,0
3171,165084.0,3,1.0,3.0,33.0,1,10,1,0,0,0,1,0,1.0,17.0,1,0
3172,38531.0,3,1.0,1.0,20.0,2,82,1,0,0,0,1,0,1.0,17.0,0,1
3173,25345.0,4,1.0,2.0,50.0,1,399,1,0,0,0,1,0,1.0,19.0,1,0
3174,33086.0,4,2.0,3.0,40.0,1,135,1,0,0,0,1,0,1.5,16.0,1,0
3175,15856.0,4,2.0,3.0,41.0,1,0,1,0,0,0,1,0,1.0,11.0,1,0
3176,165084.0,4,2.0,3.0,280.0,1,4,1,0,0,0,1,0,2.5,20.0,1,0
3177,80939.0,4,1.0,1.0,42.0,2,89,1,0,0,0,1,0,1.5,18.0,1,0
3178,68915.0,6,2.0,3.0,162.0,1,26,1,0,0,0,1,0,2.0,9.0,0,1
3179,24405.0,2,1.0,1.0,35.0,2,45,1,0,0,0,1,0,1.0,20.0,1,0
3180,80939.0,2,1.0,1.0,36.0,2,53,1,0,0,0,1,0,1.0,15.0,0,1
3181,23411.0,4,2.0,2.0,30.0,2,34,1,0,0,0,1,0,1.5,13.0,0,1
3182,68915.0,2,1.0,1.0,32.0,2,176,1,0,0,0,1,0,1.0,16.0,0,1
3183,28598.0,2,1.0,2.0,500.0,1,29,0,0,0,1,0,1,2.0,9.0,1,0
3184,32190.0,4,1.0,2.0,55.0,7,2,1,0,0,0,1,0,1.0,12.0,1,0
