,id,host_is_superhost,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities
8356,49282451,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,4,1.0,2.0,49.0,2,3,1,0,0,0,1,0,1.0,14.0
8357,49282586,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,1.0,2.0,50.0,1,31,1,0,0,0,1,0,1.0,16.0
8358,49283321,f,ΠΕΔΙΟ ΑΡΕΩΣ,7,3.0,5.0,140.0,2,6,1,0,0,0,1,0,1.5,16.0
8359,49284591,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,45.0,2,60,1,0,0,0,1,0,1.0,15.0
8360,49300557,f,ΖΑΠΠΕΙΟ,6,2.0,2.0,86.0,2,15,1,0,0,0,1,0,1.0,15.0
8361,49317039,t,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,2,1.0,1.0,156.0,2,51,1,0,0,0,1,0,1.0,13.0
8362,49321453,f,ΠΕΤΡΑΛΩΝΑ,5,2.0,4.0,28.0,3,2,1,0,0,0,1,0,1.0,15.0
8363,49338271,t,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,3,1.0,1.0,154.0,2,46,1,0,0,0,1,0,1.0,17.0
8364,49339171,f,ΚΥΨΕΛΗ,4,1.0,1.0,54.0,3,9,1,0,0,0,1,0,1.0,15.0
8365,49345425,f,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,4,2.0,2.0,50.0,2,0,1,0,0,0,1,0,2.0,19.0
8366,49351414,t,ΑΚΡΟΠΟΛΗ,2,1.0,1.0,65.0,2,31,1,0,0,0,1,0,1.0,8.0
